ts,record_id,user_authority,user,direction,base_asset_amount,quote_asset_amount,mark_price_before,mark_price_after,fee,referrer_reward,referee_discount,token_discount,liquidation,market_index,oracle_price
2022-04-06 05:10:24-04:00,6801484,BWtsbz2UbEJoiXNL1tLNMb6kg1nWLqZF1Qzo8omD3wf1,4iiJaGtEgSofsvfNE7JAr8YtfsHCstPcC998dFcfgEww,PositionDirection.Short(),11100000000000,99505851,896452939033,896445292014,99505,0,0,0,False,4,894721070000
2022-04-06 05:10:24-04:00,6801485,EepiqRr24hEEGbeJJitUMTtAxA3kmAwFGMBUiVjxkk9V,D1T7Nt5gqN1g6HwtJtHbr1kVyLXqLhCSQdiS3zPBQkFP,PositionDirection.Short(),8600000000000,98954777,1150640499554,1150633387172,98954,0,0,0,False,3,1151968250000
2022-04-06 05:10:30-04:00,6801486,Gn4D5wjymEfsjsma4EJEgikmE1YG1rNVXFvGn82oAkoQ,3gQcaTjJhcCyv9RaHZrWJHmoiDPzf1gsWf34Wy76FtHh,PositionDirection.Short(),11100000000000,99505003,896445292014,896437645093,99505,0,0,0,False,4,894804150000
2022-04-06 05:10:32-04:00,6801487,3XJxKR4p94kWbYBNCQ3bUDR8T7hDGW2GqiQGe6toSTE4,6f2rqJgjLA6sxiy2wqmMuJgqNnXS4JFWggPBkHYovFzm,PositionDirection.Short(),11100000000000,99504154,896437645093,896429998269,99504,0,0,0,False,4,894856680000
2022-04-06 05:10:34-04:00,6801488,HeM17Bi93TR8DrjEsdwnqL9Px97sZq21jUeX6s3U51RL,En6uXi44azqoQRf9aHCUL8JHTAj9MyUxfjPdbfhePVzY,PositionDirection.Long(),141604624298178,165304000,116726377199,116746225007,165304,0,0,0,False,14,117057000000
2022-04-06 05:10:39-04:00,6801489,HeM17Bi93TR8DrjEsdwnqL9Px97sZq21jUeX6s3U51RL,En6uXi44azqoQRf9aHCUL8JHTAj9MyUxfjPdbfhePVzY,PositionDirection.Long(),246694432951183,288049100,116746225007,116780814669,288049,0,0,0,False,14,117057000000
2022-04-06 05:10:39-04:00,6801490,7UY4buWvsMaFH9i6SYCCa9vFFQFXszbmG3De1CidbBWh,6auuunrtmM2LexquJ7a5R3Z9rWvaVz1PqWAKM6uknCFp,PositionDirection.Short(),11100000000000,99503305,896429998269,896422351544,99503,0,0,0,False,4,895004510000
2022-04-06 05:10:40-04:00,6801491,HeM17Bi93TR8DrjEsdwnqL9Px97sZq21jUeX6s3U51RL,En6uXi44azqoQRf9aHCUL8JHTAj9MyUxfjPdbfhePVzY,PositionDirection.Long(),186760932961821,218125400,116780814669,116807011126,218125,0,0,0,False,14,117057000000
2022-04-06 05:10:45-04:00,6801492,HeM17Bi93TR8DrjEsdwnqL9Px97sZq21jUeX6s3U51RL,En6uXi44azqoQRf9aHCUL8JHTAj9MyUxfjPdbfhePVzY,PositionDirection.Long(),104877766146119,122512300,116807011126,116821725915,122512,0,0,0,False,14,117057000000
2022-04-06 05:10:48-04:00,6801493,MtdQ7zkmkDBJthtRRQJq5jFQgbseUpJYa91PpXqEpTK,BV2p4D5zehFD4WB8cjRJSPeefXR1LtrmBzJwvtp1V1ok,PositionDirection.Long(),879000000000000,1027405333,116821725915,116945162676,1027405,0,0,0,False,14,117057000000
2022-04-06 05:10:53-04:00,6801494,Gn4D5wjymEfsjsma4EJEgikmE1YG1rNVXFvGn82oAkoQ,3gQcaTjJhcCyv9RaHZrWJHmoiDPzf1gsWf34Wy76FtHh,PositionDirection.Short(),11100000000000,99502456,896422351544,896414704916,99502,0,0,0,False,4,895049270000
2022-04-06 05:10:54-04:00,6801495,HRzDJVgzQH4oxmwfXw163NmQkZBFbFVK4w8HZVr9gUi5,6zMmKu29zPxzPeZLXBMV8CTdvkeqW1PECyHmPBsYH1QF,PositionDirection.Short(),353314504286436,4064838526,1150633387172,1150341245596,4064838,0,0,0,False,3,1152126420000
2022-04-06 05:10:55-04:00,6801496,HP1ihHVj15EnF5mwFwsWPiQvvght87o81663yVhafTfh,AgeJ26N2sd94SSKXhWVhbcerTebAGvm7LC5E1Krdo3uf,PositionDirection.Short(),11100000000000,99501607,896414704916,896407058386,99501,0,0,0,False,4,894994470000
2022-04-06 05:10:55-04:00,6801497,3XJxKR4p94kWbYBNCQ3bUDR8T7hDGW2GqiQGe6toSTE4,6f2rqJgjLA6sxiy2wqmMuJgqNnXS4JFWggPBkHYovFzm,PositionDirection.Short(),11100000000000,99500759,896407058386,896399411954,99500,0,0,0,False,4,894994470000
2022-04-06 05:10:58-04:00,6801498,HRzDJVgzQH4oxmwfXw163NmQkZBFbFVK4w8HZVr9gUi5,6zMmKu29zPxzPeZLXBMV8CTdvkeqW1PECyHmPBsYH1QF,PositionDirection.Short(),1883691187276,21668862,1150341245596,1150339688345,21668,0,0,0,False,3,1151402240000
