ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-03-31 19:24:00-04:00,410656,917KfR3c62e33U3yUWNtqi3AvuqTbcsSk61S78zEjunz,BKLc6i7xgxJjxtyR5BtDn1mzZbX165msR7LmduxCdgK2,7,7089269350456,-8999913483403207,273515331237282,1648764074,276044246218423,273594101653948
2022-03-31 19:25:15-04:00,410657,51sWUoJVikAwJQW1aR3X5uQowdWaJnxyzBSxrBgZCyVa,HV8hjzV4tjfN4ejFpzwJAPbgbYdqcuf1tamhkKhauHUT,11,-813577339475,4519997152562517,95047730902440,1648764007,95065730412440,95065730412440
2022-03-31 19:25:15-04:00,410658,51sWUoJVikAwJQW1aR3X5uQowdWaJnxyzBSxrBgZCyVa,HV8hjzV4tjfN4ejFpzwJAPbgbYdqcuf1tamhkKhauHUT,0,4564718906549,-18753519070827701,499381711776611,1648764044,1570835762272003,499406052375777
2022-03-31 19:25:15-04:00,410659,51sWUoJVikAwJQW1aR3X5uQowdWaJnxyzBSxrBgZCyVa,HV8hjzV4tjfN4ejFpzwJAPbgbYdqcuf1tamhkKhauHUT,2,-1710819541952,53580000088643,51052734936189743,1648764184,51055927955113076,40499193763852245
2022-03-31 19:34:18-04:00,410660,B2wm6eck8zvvAm4rVi1xSFD4gwqKWh8gTmozVg1heKTV,k63gJ4ea7XDGD82LjXpYNBrVFfKea2EJ64DMA6LDxnJ,3,121682936280,278400000000000,-379715492741910,1648764050,-379759200693160,-438756419484738
2022-03-31 19:34:18-04:00,410661,B2wm6eck8zvvAm4rVi1xSFD4gwqKWh8gTmozVg1heKTV,k63gJ4ea7XDGD82LjXpYNBrVFfKea2EJ64DMA6LDxnJ,0,64015775806,-263000000000000,499381711776611,1648764044,1570835762272003,499406052375777
2022-03-31 19:34:18-04:00,410662,B2wm6eck8zvvAm4rVi1xSFD4gwqKWh8gTmozVg1heKTV,k63gJ4ea7XDGD82LjXpYNBrVFfKea2EJ64DMA6LDxnJ,4,36513735098,126100000000000,262299767769496,1648764005,262270811595746,95663380933989
2022-03-31 19:44:05-04:00,410663,9Qkt1ZaNWjNzvEb72JQM4LWZCrZJBE2o8d2kQ4ggyKAs,BfY9Vgwkkd4F4YXok4soj1arrgntorahxF52Cb6BY91u,3,568203366,1300000000000,-379715492741910,1648764050,-379759200693160,-438756419484738
2022-03-31 19:44:05-04:00,410664,9Qkt1ZaNWjNzvEb72JQM4LWZCrZJBE2o8d2kQ4ggyKAs,BfY9Vgwkkd4F4YXok4soj1arrgntorahxF52Cb6BY91u,0,1971588532,-8100000000000,499381711776611,1648764044,1570835762272003,499406052375777
2022-03-31 19:44:06-04:00,410665,EE5gBpmv2tyN9pvFevyFANVxni1vew1tGUf3xEoNjhg8,8HLmiDRde3xYmp6zRigVbeXyCL5Q1zkLLuGWi3tB6fzi,0,1947247933,-8000000000000,499381711776611,1648764044,1570835762272003,499406052375777
