,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
42,Ez4XhcKJCZ3twwNUcktmZzp6MPdHYi21jDHJGogD14uY,7myzT8iyphL6fXfgArLHgReFoU5zB5GfURgq3MYKwMPb,,,,,,
43,4bW5HBuaCAXete3e523FLPqtUHZFtNvAJTkxdKEeuiUx,DfnQMkvk31qK3rKUQk7oVQf163P3BBnFQFbTfP7b5dro,,,,,,
44,D4sAgAasDwNMKhvLmMMKnDqx4XN4FLnGg1pkh7mnGaG3,CBUEHvYMnDkDxoUfCpJXt6BQRSNSMztbhkQVhzYZHw3E,,,,,,
45,8R8QkgruGRCeE1pjXmn3WjdVDiawNbXFid8gU8BfabZA,GhV3DChNShu8mGwUUy7VLidabCV6Y2aKdp7cqPynd6Ci,,,,,,
46,ASxJ1YcsybvVtA5hf2EoKKdfdUyfWkkYQVVXrcWgCpDf,Ap8jgWamixqKyazzZztyhvjERN1og3fN5jXa8jzZzspx,,,,,,
47,278C794dLsP2RhDU2y5aggJWEDVgrr8mUUw6db2SuHtf,HkXe2TVHfX7w2EczaPJgWY7KocRyGVJnz8EXTt9hrcyG,,,,,,
48,8RL9nFf87EGK2MC5As214YYPPGodmWXs1CGLQRzajBet,3eFaPcBZwrYRtnmEXi138TNEPgiLB4ZeM7Rnreb9DDb3,,,,,,
49,AkXqQ65Ci4b9Nudc27Zt6ctpnPLHxCfG4YDhKRsDZXnC,ELoBGXzerzPy4eYtDf7W1dYe86PDYyZ9QBk2A8iLvRM1,,,,,,
50,Fg4EzAzHStoLRDPmoBUczdWnWrhAb7jKEujqAujLFT8,EanSXRkJu91FKUhPCzYxWkmM3PQUWcovEnoZXcd6vQ9E,,,,,,
51,DJzHCSrrafrrLSr67JicmBuc33D6iqnu6RWd2bDCJpnT,H7Ed8acvkwypC4tVT3uoZm3RLNYdWcwE1mLaKEgezENM,,,,,,
52,Cui5dXcquy7o9a6bKzbiTPmxS6FVXdvFvEutQbhoykxb,Am3Lttw7XAqgyboBP2DWcdDfmyyBFvxNt4suZ39w3Eoz,0.0,0.0,197.48,-2.0616463162642,3.33628196467193,95.78752594084277
53,LfASu57tx87s8tFcH7gseaSTccPbZhaW8sXRGSF7xFy,9QUXPdUGd4Sew4X1U5cRTaoM7pxhpLTaTJbKBvYEvUEV,,,,,,
54,GUUnTxFzVQo1SWbsdUXJwH1TJybRH67uK1VFAWiEhJnP,2h5KohCANv8H5S4eactGGLgwxgjXsxugubsuHYxd2WgQ,,,,,,
55,w5dUABXzDR8PqJfvtVuuxHfvWmJpsu2aWHUfjcrUXpx,3rX27dRi8ht84xH51PArVKGzFT4ppL2tXF6UZAiksasD,,,,,,
56,EydLZExqHKifrY6ukLsU4ZpQEMcQGx4BHfkrqm3Ngvdu,HP5W6YxLGaRrpU7dfuL1gfXJrWExdyX6MTAXynHdKvFe,,,,,,
57,iiffN8PyG1hXtChBWcqyXvcZS6KDpA4hrsjg9gDGPke,8XvBmHT8k391LqhxWEzWaxLrMGLxDU27FWfvb3DXXkuC,,,,,,
58,2udz7gsjYAZvrfWKqrLakDo7hAyUoyWgZXdfCHdCmiao,AqpSfRRKA2x5c4k5WFi1CaH9iEvYAGfzWVVS2Wfua6zS,,,,,,
59,GPHcgaJB2kbuz5terGaGefHb7bP1TWz5XFG8n8WozzpK,5NCwQeSc2re4bLRch5WFBYSkpnhZgdzVXZ9PeWwkiV8t,,,,,,
60,2funPHa9Xi1hcgj7rHc7NHDYQ5HjgZ7UvbnZpet3u7kQ,82ahWrNx6L73jAvzt4PAv7FuhwSdGqG4KqAZWD2uwEZt,,,,,,
61,GUnaBE1kqe1yKtiaEbCax57Sthz1YipGYWK9BwTvNRxU,5FzqLqMJ1JESDqp1FdV79LmGrCk64VPBR1xobPvSkoBr,0.0,0.0,1487.85,6.2039981297506,-2.97066088322056,239.82115546830627
62,3mR2pjgk7eTs1JFMbWMYzbV2ZZXy9MV1k3Ck4mxF5SyX,eaocTGzpzPzjuZQ89LtVJxEuNqYbWfSHi3onvRNdDEA,,,,,,
63,Pby2szzsxDrXt4gnbmmaMccXxctZALr8miRtKhGKjsD,4ytoBUwuhAL4YYSCa6AgwrpeVF4eeU8H9NfDxMPZKxPo,0.0,3.0,0.03,0.0003383609048,-0.57066745966681,88.6627254343481
64,2ihWzmFtFdBjdg7YazyuUcDVxGjE6Z1at7a4P23Ucras,AfADiAtcK4XYXTBiGo9NcAT6VEs2kCvG9p3wWBLmCP4m,0.0,0.0,0.0,1.79696267e-05,1.1854983380996,0.0
65,59Ba4Ziap5s7bAhFgk3wyTZe77axXBSGCMoXkp5utKxc,9hnBki1Pi2N7Aay7w6fGVizyWedhqF6anBGpWoRoGFTU,,,,,,
66,BHaAkrCuAjEazwTmZEwVU9vGcFBSP2xuZRLFBn5pSi2q,FkyPw3oShuXPXZA4pX13nwWk2BYy6tnL1i1nev2LXoAV,,,,,,
67,B2mAD76pfaeoc6VifeNAu9MLQC6UXJubtpM7wfNZuVnA,9iJ1QnHgP1TLvjfk37G4ncMiNLAVfWYoC4B4SihiKx9V,,,,,,
68,FjuDiVN4chNbCNnp25ktzBcvtJwm3cvseWzBE2URq4FH,Azo8ETdajr8HquRbYWusJBny7ShcReVhKZPDtySXARCv,,,,,,
69,8G3KdH3RvDczGJY6J8mx4vAqi11t8XHhENLzG1oa1FLB,6kUNNjPCXqWn6u5Gcw65cfXhxpUfsKpKbwbBj5JSz6zr,,,,,,
70,Ayn7X2gHuZumFZuKmoFfypScW4utTzbJ7A5HuX9dboEy,APP7r1qqJKZkfNWWGM3exH2asw6qcA5w8fpiNodoGPMC,,,,,,
71,3aQZ7jaCayGg6m7MPL29PrePnJK17wCZWKhxaXwnAdmP,5XrYeUHJQgjmygxpDHec2GjMbPL4uRPEq7exUuLSwLkb,,,,,,
