,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
5501,26LUcyMpnrtFF9vBFZ53cAsLvwJfzSfen75mK7FrQada,167892.627,245481.38,3306.451,-77588.753,-0.316
11364,D8EFF8AWToTTmBtmXBrKRd3GoRWwQKHYQtb1LDiWzRxD,40394.328,64991.0,3273.66,-24596.672,-0.378
157,GfzMQRsciH3ys41HmA6mSioZgevSyFT2rw8gGh3rFJjG,1366.406,-3326.08,3226.529,4692.486,inf
3229,9xU7i4H3pY8LZkwspeLVNaQuL8PsAvyjpex1fnr28KxH,11711.721,-47996.89,3102.072,59708.611,inf
5073,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,140050.248,72309.692,3038.397,67740.556,0.937
1631,7vwhjQuEfy28GREsAfY6gwJrJSiP5Vv4dPmyRuJKURmt,185057.855,253142.0,2959.642,-68084.145,-0.269
5400,G1avM7AyvLimcSD5cgW7vgSfvTJMq5tQtpvhipFXmRNV,1478.372,-3587.47,2898.345,5065.842,inf
1156,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,103397.821,150000.0,2897.32,-46602.179,-0.311
4766,EiyJjAgBvVZpRC9w3kVDMEDrhCEMEZywuGUqDfG8jw5u,5434.516,1900.0,2800.896,3534.516,1.86
7626,B6kjyqPBcgKR7yeBFnyvXeCuBuQFerxeXSB1FvcCQpCQ,369.377,21.27,2681.335,348.107,16.366
6438,eaocTGzpzPzjuZQ89LtVJxEuNqYbWfSHi3onvRNdDEA,1111.25,-2595.2,2675.317,3706.45,inf
1058,5MB1e1MJcPsGHhpLPEGsh2Qeq6feVACR4rP426GUR3so,0.007,-915.71,2552.223,915.717,inf
12712,2Ce1w7r9HgoQvY8a2x7wKkgCiLSQxJ2u5tvB7gU2iKji,158723.014,312152.22,2542.553,-153429.206,-0.492
12976,9LMgCjBUjBM22w3nwxUP3jSrDnpg6Xf7Umt2ZFzq7zJ8,1081.691,-1201.4,2474.076,2283.091,inf
7313,CmK69Pq5GuvfTstgb3DMo91aakRcWitxdLr4TUMj89Vq,402.286,-256.12,2472.41,658.406,inf
3738,5LGJvGBc51u77u1P4GjZa4nv1QXbRqBWYH6Mu5gzXfbF,1380.904,-1502.122,2433.256,2883.026,inf
6433,6pUtYz474QrpATEZnfb3iFbTKYA65pNyKAo4TQZAjtqe,1271.109,59878.0,2405.821,-58606.891,-0.979
1319,2Ga6hzy12f7oFvS1zSYvUmvA5fLWiNP9ep5q4NdruTci,0.001,-82.53,2399.261,82.531,inf
6093,BYYAWHAJpxpfrtg2vMUx8TPDv6jtt2NUBcQfbe33ZKoY,9207.095,10000.0,2388.317,-792.905,-0.079
7184,51V48WEtz4Dybf4Y5uWwRB8GcH7CDAPqq27x57zUmYN5,43121.519,-5000.0,2368.146,48121.519,inf
3993,sBReBfFPVXc62zNuca1aATmhUakeQcz56Fuaf3VaFJX,53537.444,51950.0,2337.84,1587.444,0.031
1939,F144gtkJSv3mtmRzoBwLmVuyUbqLKQvvbNRruATCJpmQ,482.624,-1540.0,2318.81,2022.624,inf
7012,H516pmwjngstZYyPWp429NcSMM3YLLDFd8dV7k6qcGJ7,1252.873,-1007.775,2258.724,2260.648,inf
12082,DXjrP452Xcgbc9KxawmA2kYBFxA8cjD4cKq681e72tFL,1213.757,-3076.267,2251.695,4290.024,inf
5011,F2AU2PjaSmHxWWhkz8XxMggkCMWbMVgawt89tSnYS6RL,76.142,1074.0,2235.399,-997.858,-0.929
13262,EV1jndTEhcxMZwNNVmCWAr7yxC7zACM4GiCAsHKesy8z,0.007,1351.92,2223.465,-1351.913,-1.0
11263,96wuMnFTZiWGj53jVwc4G3XR3GGeBUURtTXeH4ZpMPqa,10162.368,11054.0,2075.635,-891.632,-0.081
6416,7RN7GrWsrtJ6hrkRRyWbB4tBxgEdxHXkVCYwUtR8ReBi,13341.717,7000.0,2074.594,6341.717,0.906
7638,3A5AuwDWP4fT7RUqNBj51AxdS4uYkjEZmFYrykBJPp1X,0.014,-18453.72,2074.191,18453.734,inf
10837,EnWyeq6uuqbcNJ9rRxBmyADxFtJuJLqBEpZ5fCAuuA5r,87082.156,207288.87,2029.481,-120206.714,-0.58
11334,3UunurRNn4m3nmqvaPAXAX5cT9ZcghSVQi4NSgz9u22d,1292.943,-2406.917,2013.102,3699.86,inf
10206,FKoZwJ77pC3nitFFAksgHFu74WQsERn4hEtGKbDLoNtg,2459.538,-600.0,2010.22,3059.538,inf
4843,5wRQzyabqtB45KPmnsEBRJQkYDjnoWoPeSLkGx4qS5oh,100587.775,137394.0,1995.543,-36806.225,-0.268
1892,2PSy8GuWYnWc8QzgPEbcAZN63nckUrw8i2B85zoFYbDK,1027.953,-2002.092,1895.786,3030.045,inf
3122,CQbbxhXhP9hw5geiDsTKUZQzjDoq7Dq1iTJdbyTyKkph,35987.115,1571.0,1875.462,34416.115,21.907
1173,9RHywwguv9yVRsNUYtrgccrYREsFjMZnhk3uYQMVGA5m,29080.036,42075.4,1865.594,-12995.364,-0.309
7722,31tyt6M4RuSjM1pZ9tXbPSdVDNr7q4CU66tHD5soPHkT,1094.8,668.57,1865.031,426.23,0.638
3791,4jEjJLkmmXwRQRRwuujWUECGQzn95fhEUjLQwk2Pf5WR,1122.613,-1132.47,1826.403,2255.083,inf
3792,5UjqNduYDueZvYqJ29cWDV5no4KqnhPaoi2H2erHFy42,2100.896,-600.0,1810.417,2700.896,inf
12724,BVykpLYZy9GigxJBEgMQ5ZeXciEEu793EvieBXCYV9sE,0.005,-130106.57,1808.164,130106.575,inf
9984,H1efszYdGst9jNcLTTEHX2HuNN2DVSQYMUaFmM23kqbc,1281.231,-2282.704,1773.929,3563.935,inf
7448,7yC8SzjGdXHkLfccYWeUM7Aenr8c52taEBQd9BeLVaBD,1164.896,-347.05,1766.721,1511.946,inf
2414,9ejxwu1RWfTKCHH9T9vc1EdRTsfmnny5gKhW2WHLXH4K,0.005,3936.89,1746.735,-3936.885,-1.0
1508,FUG9tcLbLgaRB1WtF9FYRM1zNwRJ2yiWufUAGKbnCABH,0.009,10749.53,1702.43,-10749.521,-1.0
10207,13FqxsfP636kgZt6yhyBQPWEg2oWDkAvErJUV8fpKwbJ,0.004,192.52,1675.293,-192.516,-1.0
12053,7PNqGpRUDwHgFBCU8qn89Wbs3bJLM6oURd5eWQy8h4MJ,1305.077,-563.172,1652.163,1868.249,inf
5061,AQhbHR4pJqpeFgudX4BepV5LMgstiu5ctKMW1LNizgni,383.191,-477.0,1615.762,860.191,inf
1533,sprtBZumUnXxAvQ3zKTXgMVAf9hzcKs2PXAPDxaWANR,5875.308,-7696.74,1613.367,13572.048,inf
10731,E1pGaojzrXRkkLNn6vztAFAnTk2buajbZPhd9PsFaoBt,1436.912,-285.176,1570.521,1722.088,inf
10920,8MKNsuGVaoYpdQy6NNyxDvRzh2DAquBUtri4nDsixUxs,0.001,5.1,1564.066,-5.099,-1.0
2341,6dPhLCABGvaAuAp6Sb9FkxuCY67K7Beej6jvvjHdb3Ga,0.009,14219.69,1558.393,-14219.681,-1.0
6803,GYpucRPD9CooEPSAMoXbsFeqpKuguTLp5NZvDcNU3mka,0.001,3395.76,1553.855,-3395.759,-1.0
9915,4FBxEUi6xk858uNnb3sHewSeyVNy3W4ckK8zPTWtZN8N,2042.595,-5877.11,1548.914,7919.705,inf
6343,34qqEFbJji1dYpVQcfCfy5CgqLDhJ3jnjivzxZdhGbHZ,1145.154,-1008.771,1546.443,2153.925,inf
3454,7sDGtVCQKLTBdufeobxvHdyKzKqtKRTpQqgXhSjypstB,1381.779,-718.369,1514.942,2100.148,inf
7520,3FCT4xUS1j8kWVL19rhpJFb9xHQskz14w7FPz1wMWBcu,0.001,2602.47,1506.475,-2602.469,-1.0
12883,EihnprQFteCGocFLE68JBri9vLos1R6rrFK6JWTAZPHz,1156.496,-240.0,1497.475,1396.496,inf
12994,FU7X4DWnGTbxwXULBq3v9SACzYhQyFGqsXjUDzyFqiem,3614.184,4701.39,1483.224,-1087.206,-0.231
609,8VuaLjtA3FzyTNJmc3w31YFfHzTKeqD9pb2tr7aeTWod,1256.406,-3331.31,1445.401,4587.716,inf
6678,4RZKFLwySHB8PqqURzmEqcL2xu28cSFK231v3VjFjaEr,1342.156,-1411.598,1433.392,2753.754,inf
12918,4dzkadK1vdySwFKfPou8SUZhbgLLd1K2mew7uAcAjTNk,98832.983,137836.0,1412.634,-39003.017,-0.283
20,J5gePeeyv2h1gynYSpCKboy9Wx7YyxVb6BQJrVXJ6P1H,96948.076,177962.0,1410.501,-81013.924,-0.455
5634,Hjt4J81FbaYheexzYJWU9j8JKijKqJJYkz3JGNNZ5k56,0.001,690.88,1396.705,-690.879,-1.0
9118,DdQA413UwavKhjo2cTWJeMvZEzzWRevAsD39hdCYr6nF,88547.248,161007.0,1381.55,-72459.752,-0.45
7915,Crh33YTWQp3m1yg65TXQcfSFP7PRcximY5pxjoASrZ66,1067.748,-460.56,1378.532,1528.308,inf
5962,8B7St5xcPrd9witNh9rrqGSSdXa9hN85y8d8SNcbH8dB,1396.521,-40000.0,1358.195,41396.521,inf
3169,D3o7CSh2zCAQ93BDomDCitZ4vuxC83wGPMwJEEyBJK4C,0.0,100000.0,1348.878,-100000.0,-1.0
13115,97TGTYUV37PgPNjgf2YnWsQhVn132AjU6uadvNw22Xyt,1465.245,73.876,1318.043,1391.369,18.834
